time_min,time_hours,S_mean,A_mean,Ap_c_mean,Ap_n_mean,r_mean,R_mean,f_mean,F_mean,a_mean
784.9298597194389,13.082164328657315,0.0,590388.623795644,0.0,0.0,0.0,11.4,0.1,1705.3,12.9
787.815631262525,13.130260521042084,0.0,591626.7853817631,0.0,0.0,0.0,10.9,0.1,1652.4695367303182,12.9
790.7014028056112,13.178356713426854,0.0,592843.0721869431,0.0,0.0,0.0,10.2,0.1,1607.5,12.6
793.5871743486974,13.226452905811623,0.0,594002.6983538393,0.0,0.0,0.0,9.8,0.1,1562.4,12.5
796.4729458917835,13.274549098196394,0.0,595143.1163977097,0.0,0.0,0.0,9.0,0.1,1521.0,12.5
799.3587174348697,13.322645290581162,0.0,596348.5688091922,0.0,0.0,0.0,8.6,0.1,1483.7,12.8
802.2444889779559,13.370741482965931,0.0,597562.7288536413,0.0,0.0,0.0,8.2,0.1,1445.9,12.7
805.130260521042,13.418837675350701,0.0,598736.969191822,0.0,0.0,0.0,8.1,0.1,1410.5,12.7
808.0160320641282,13.46693386773547,0.0,599926.398190074,0.0,0.0,0.0,7.9,0.1,1374.5,12.6
810.9018036072144,13.51503006012024,0.0,601040.1354739424,0.0,0.0,0.0,7.5,0.1,1340.0,12.4
813.7875751503007,13.56312625250501,0.0,602162.9918103821,0.0,0.0,0.0,7.2,0.1,1306.3,12.3
816.6733466933867,13.61122244488978,0.0,603252.0526373691,0.0,0.0,0.0,6.8,0.1,1272.8,12.2
819.559118236473,13.659318637274549,0.0,604314.937635123,0.0,0.0,0.0,6.5,0.1,1240.327145420645,12.2
822.4448897795592,13.707414829659319,0.0,605389.1910700421,0.0,0.0,0.0,6.4,0.1,1210.8,12.1
825.3306613226453,13.755511022044088,0.0,606435.8832444896,0.0,0.0,0.0,6.0,0.1,1177.8,12.0
828.2164328657315,13.803607214428858,0.0,607495.334401013,0.0,0.0,0.0,5.7,0.1,1147.0,12.1
